Skill Name,Record Type Name,Group,Pillar,Category,Include In Cross Training,thoughts?,Israel - Include,Danilo - Include,Raj - Include,Jorge - Include,Brian - Include
Prompt Engineering,Skill,Gen AI,GenAI,GenAI,Yes,,Yes,Yes,,,
Langchain,Skill,Gen AI,GenAI,GenAI,Yes,,Yes,Yes,,,
Bedrock,Skill,Gen AI,GenAI,GenAI,Yes,,Yes,Yes,,,
PEFT - QLoRA/LoRA,Skill,Gen AI,GenAI,GenAI,Yes,,Yes,Yes,,,
Retrieval Augmented Generation (RAG),Skill,Gen AI,GenAI,GenAI,Yes,,Yes,Yes,,,
LLMOps,Skill,Gen AI,GenAI,GenAI,Yes,,Yes,Yes,,,
Model Evaluation,Skill,Gen AI,GenAI,GenAI,Yes,,Yes,Yes,,,
Model Fine Tuning,Skill,Gen AI,GenAI,GenAI,Yes,,Yes,Yes,,,
Distributed Ledger DBs,Skill,Data,Data,NoSQL DBs,No,,No,No,,,
Flink,Skill,Data,Big Data,Big Data Frameworks,Yes,,Yes,No,,,
TensorFlow,Skill,Data,ML,Machine Learning Frameworks,Yes,,Yes,Yes,,,
Hadoop,Skill,Data,Big Data,Big Data Frameworks,No,,Yes,No,,,
OLTP Data Modeling,Skill,Data,Data,Database Design,Yes,,Yes,Yes,,,
Business Objects,Skill,Data,BI & Analytics,BI and Analytics,No,,Yes,No,,,
Kafka,Skill,Data,Big Data,Big Data Frameworks,Yes,,Yes,Yes,,,
R,Skill,Data,ML,Data Science,No,,No,No,,,
Javascript visualization (eg. d3js),Skill,Data,BI & Analytics,BI and Analytics,No,,No,No,,,
MySQL,Skill,Data,Data,SQL DBs,Yes,,Yes,Yes,,,
Star schema modeling,Skill,Data,BI & Analytics,Data Warehouse,Yes,,Yes,Yes,,,
Oracle Golden Gate,Skill,Data,Data,SQL DBs,No,,Yes,No,,,
Lakeformation,Skill,Data,Big Data,Data Lake,Yes,,Yes,Yes,,,
DMS,Skill,Data,Data,DB Migrations,Yes,,Yes,Yes,,,
Neo4j,Skill,Data,Data,NoSQL DBs,No,,Yes,No,,,
CouchDB,Skill,Data,Data,NoSQL DBs,No,,No,No,,,
PowerBI,Skill,Data,BI & Analytics,BI and Analytics,No,,Yes,No,,,
Druid,Skill,Data,Data,NoSQL DBs,No,,No,No,,,
MSSQL,Skill,Data,Data,SQL DBs,Yes,,Yes,Yes,,,
Postgres,Skill,Data,Data,SQL DBs,Yes,,Yes,Yes,,,
Informatica,Skill,Data,Big Data,Big Data Frameworks,No,,No,No,,,
PyTorch,Skill,Data,ML,Machine Learning Frameworks,Yes,,Yes,No,,,
Pig,Skill,Data,Big Data,Big Data Frameworks,No,,No,No,,,
Hive,Skill,Data,Big Data,Big Data Frameworks,Yes,,Yes,Yes,,,
DynamoDB,Skill,Data,Data,NoSQL DBs,Yes,,Yes,Yes,,,
Graph DB design,Skill,Data,Data,NoSQL DBs,No,,No,No,,,
Iceberg,Skill,Data,Big Data,Data Lake,Yes,,Yes,No,,,
ElasticSearch/OpenSearch,Skill,Data,Data,NoSQL DBs,Yes,,Yes,Yes,,,
Looker,Skill,Data,BI & Analytics,BI and Analytics,No,,No,No,,,
Databricks,Skill,Data,Big Data,Big Data Frameworks,No,,No,No,,,
SCT (migration),Skill,Data,Data,DB Migrations,Yes,,No,Yes,,,
Sentiment Analysis,Skill,Data,ML,Machine Learning Frameworks,No,,No,No,,,
MongoDB,Skill,Data,Data,NoSQL DBs,No,,No,Yes,,,
Talend,Skill,Data,Big Data,Big Data Frameworks,No,,No,No,,,
Microstrategy,Skill,Data,BI & Analytics,BI and Analytics,No,,No,No,,,
Kinesis,Skill,Data,Big Data,Big Data Frameworks,Yes,,Yes,Yes,,,
RabbitMQ,Skill,Data,Big Data,Big Data Frameworks,No,,No,No,,,
Sybase,Skill,Data,Data,SQL DBs,No,,No,No,,,
Hudi,Skill,Data,Big Data,Data Lake,No,,Yes,No,,,
Keras,Skill,Data,ML,Machine Learning Frameworks,No,,No,No,,,
BigTable,Skill,Data,Data,NoSQL DBs,No,,No,No,,,
SageMaker,Skill,Data,ML,MLOps,Yes,,Yes,Yes,,,
ZooKeeper,Skill,Data,Big Data,Orchestration,No,,No,No,,,
Computer Vision,Skill,Data,ML,Machine Learning Frameworks,No,,No,No,,,
Cassandra,Skill,Data,Data,NoSQL DBs,No,,No,No,,,
Oozie,Skill,Data,Big Data,Orchestration,No,,No,No,,,
Spark,Skill,Data,Big Data,Big Data Frameworks,Yes,,Yes,Yes,,,
dbt,Skill,Data,Big Data,Big Data Frameworks,Yes,,Yes,Yes,,,
Data Lakes,Skill,Data,Big Data,Data Lake,Yes,,Yes,Yes,,,
Neptune DB,Skill,Data,Data,NoSQL DBs,No,,No,No,,,
Anomaly Detection,Skill,Data,BI & Analytics,BI and Analytics,Yes,,No,No,,,
ORC,Skill,Data,Big Data,Big Data Frameworks,No,,No,No,,,
Airflow,Skill,Data,Big Data,Orchestration,Yes,,Yes,Yes,,,
SQL,Skill,Data,Data,SQL DBs,Yes,,Yes,Yes,,,
Time series DBs,Skill,Data,Data,NoSQL DBs,No,,No,No,,,
